,image_id,label,source,0,fold_0,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6
459,1081331009.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,test,train,train,train
482,1085950509.jpg,0,2020,Cassava Bacterial Blight (CBB),test,train,train,train,train,train,train
501,1089759212.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
531,1094295442.jpg,0,2020,Cassava Bacterial Blight (CBB),test,train,train,train,train,train,train
558,109816879.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,test,train,train,train
586,1101952886.jpg,0,2020,Cassava Bacterial Blight (CBB),test,train,train,train,train,train,train
592,1103304372.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,test,train,train,train
603,1105255922.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
646,111358933.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
693,1119847734.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
713,1123269893.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,test,train,train,train
720,1124291241.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,test,train,train
741,1127286868.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,test,train,train,train
784,1134422280.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
868,1148829591.jpg,0,2020,Cassava Bacterial Blight (CBB),test,train,train,train,train,train,train
873,1149243998.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
894,1152631724.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
970,1166973570.jpg,0,2020,Cassava Bacterial Blight (CBB),train,test,train,train,train,train,train
978,11690064.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,test,train,train,train
1046,1179913576.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
1058,1181678723.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
1061,1182217128.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,test,train,train
1083,1185995427.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,test,train,train
1154,1200666322.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
1174,1203861431.jpg,0,2020,Cassava Bacterial Blight (CBB),train,test,train,train,train,train,train
1189,1207142999.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,test,train,train
1200,1208930498.jpg,0,2020,Cassava Bacterial Blight (CBB),test,train,train,train,train,train,train
1241,121610069.jpg,0,2020,Cassava Bacterial Blight (CBB),train,test,train,train,train,train,train
1247,1218204606.jpg,0,2020,Cassava Bacterial Blight (CBB),test,train,train,train,train,train,train
1273,1222304315.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,train,test
1315,1231451126.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,test,train,train,train
1349,1236036550.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,train,test
1381,1241243048.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,test,train,train,train
1434,125207834.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
1442,1252793337.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,train,test
1459,125703440.jpg,0,2020,Cassava Bacterial Blight (CBB),train,test,train,train,train,train,train
1467,1258444443.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,test,train,train,train
1470,1258586775.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,test,train,train
1480,1261540961.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
1532,1270462565.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,test,train,train,train
1547,1272495783.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
1557,127464350.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
1571,1276802461.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,train,test
1608,1281314946.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,test,train,train
1639,1287334854.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
1678,1292954141.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,train,test
1706,1298789590.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
1709,1299200628.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,test,train,train
1738,1303876802.jpg,0,2020,Cassava Bacterial Blight (CBB),train,test,train,train,train,train,train
1739,1304015285.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
1780,1312770396.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,test,train,train,train
1782,1312991272.jpg,0,2020,Cassava Bacterial Blight (CBB),test,train,train,train,train,train,train
1805,1315872826.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
1831,1322108824.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
1846,1326787301.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,test,train,train,train
1853,1328372449.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
1866,1331134229.jpg,0,2020,Cassava Bacterial Blight (CBB),train,test,train,train,train,train,train
1877,1332424855.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,test,train,train,train
1889,1333580402.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,test,train,train
1909,1336580642.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,train,test
1924,1339257499.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,test,train,train
1941,1342343254.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,test,train,train
2035,1355825847.jpg,0,2020,Cassava Bacterial Blight (CBB),test,train,train,train,train,train,train
2050,1357797590.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
2051,1358076537.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,train,test
2120,136815898.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,test,train,train,train
2142,1371699817.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
2213,1383020993.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
2258,1391377544.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
2289,1396822256.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,test,train,train
2290,1396847821.jpg,0,2020,Cassava Bacterial Blight (CBB),train,test,train,train,train,train,train
2309,1400687003.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
2321,1403068754.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,test,train,train,train
2341,1406654897.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
2349,1408296206.jpg,0,2020,Cassava Bacterial Blight (CBB),train,test,train,train,train,train,train
2362,1410898675.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,train,test
2365,1411610648.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,train,test
2370,1412788738.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,test,train,train,train
2426,142362483.jpg,0,2020,Cassava Bacterial Blight (CBB),train,test,train,train,train,train,train
2443,1426129628.jpg,0,2020,Cassava Bacterial Blight (CBB),train,test,train,train,train,train,train
2473,1430955699.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
2528,1439675422.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
2537,1442345924.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,train,test
2546,1443500189.jpg,0,2020,Cassava Bacterial Blight (CBB),test,train,train,train,train,train,train
2552,1444544314.jpg,0,2020,Cassava Bacterial Blight (CBB),train,test,train,train,train,train,train
2567,1446872004.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
2576,1448397186.jpg,0,2020,Cassava Bacterial Blight (CBB),train,test,train,train,train,train,train
2620,1456612395.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,test,train,train,train
2635,1458603668.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
2655,1462318476.jpg,0,2020,Cassava Bacterial Blight (CBB),test,train,train,train,train,train,train
2662,1463935986.jpg,0,2020,Cassava Bacterial Blight (CBB),train,test,train,train,train,train,train
2674,1465774459.jpg,0,2020,Cassava Bacterial Blight (CBB),test,train,train,train,train,train,train
2694,1468715314.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,test,train,train
2727,1474376023.jpg,0,2020,Cassava Bacterial Blight (CBB),train,test,train,train,train,train,train
2730,1474472052.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
2785,1484094890.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
2809,1488108256.jpg,0,2020,Cassava Bacterial Blight (CBB),train,test,train,train,train,train,train
2826,1490907378.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
2878,1497853421.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
2882,1498477767.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,test,train,train,train
2887,1498912692.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
2901,1501728003.jpg,0,2020,Cassava Bacterial Blight (CBB),test,train,train,train,train,train,train
2936,1508217938.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,test,train,train,train
2950,1510579448.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,train,test
2997,1519337929.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
3009,1521850100.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,test,train,train
3013,1522449555.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
3015,1523038784.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
3058,1529293180.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,test,train,train,train
3085,1535057791.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,test,train,train,train
3095,1536737469.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,train,test
3100,153749509.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
3109,1539533561.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
3119,1540668864.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,train,test
3126,1541989559.jpg,0,2020,Cassava Bacterial Blight (CBB),train,test,train,train,train,train,train
3131,1542749471.jpg,0,2020,Cassava Bacterial Blight (CBB),train,test,train,train,train,train,train
3145,1545680937.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,test,train,train,train
3152,1546870332.jpg,0,2020,Cassava Bacterial Blight (CBB),test,train,train,train,train,train,train
3177,1551517348.jpg,0,2020,Cassava Bacterial Blight (CBB),train,test,train,train,train,train,train
3188,1553432639.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
3204,1556262944.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,train,test
3215,1557580898.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,test,train,train
3217,155778794.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
3232,1560029412.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,test,train,train
3237,1561430411.jpg,0,2020,Cassava Bacterial Blight (CBB),test,train,train,train,train,train,train
3251,1563794954.jpg,0,2020,Cassava Bacterial Blight (CBB),train,test,train,train,train,train,train
3271,1569164715.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
3275,1569692154.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
3291,1573602024.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
3305,1575866220.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,test,train,train,train
3309,1576606254.jpg,0,2020,Cassava Bacterial Blight (CBB),test,train,train,train,train,train,train
3314,1578564024.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
3345,1584698721.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,test,train,train,train
3350,1586292581.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,train,test
3401,1595141360.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
3410,1596468225.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,test,train,train
3465,1609948219.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,test,train,train
3499,1616824359.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,test,train,train,train
3559,1629534694.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
3595,1635136764.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,train,test
3596,1635220625.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
3625,164144958.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,train,test
3667,1650008995.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
3679,1652157522.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,test,train,train
3683,1652920595.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,train,test
3765,1668838224.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
3784,167313296.jpg,0,2020,Cassava Bacterial Blight (CBB),train,test,train,train,train,train,train
3791,1674288573.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,test,train,train,train
3804,1677224730.jpg,0,2020,Cassava Bacterial Blight (CBB),train,test,train,train,train,train,train
3810,1678311318.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,train,test
3827,1681772018.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
3892,1692621028.jpg,0,2020,Cassava Bacterial Blight (CBB),test,train,train,train,train,train,train
3918,1697161067.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
3937,1700324452.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,train,test
3940,1700812370.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
3947,1702068619.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,train,test
3978,1708593214.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,train,test
3987,1709691411.jpg,0,2020,Cassava Bacterial Blight (CBB),test,train,train,train,train,train,train
4019,171546937.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
4032,1718658976.jpg,0,2020,Cassava Bacterial Blight (CBB),train,test,train,train,train,train,train
4039,1720212686.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,train,test
4051,1722126168.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
4052,1722175051.jpg,0,2020,Cassava Bacterial Blight (CBB),train,test,train,train,train,train,train
4064,1725598881.jpg,0,2020,Cassava Bacterial Blight (CBB),train,test,train,train,train,train,train
4102,1731652110.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,test,train,train,train
4109,1733574271.jpg,0,2020,Cassava Bacterial Blight (CBB),test,train,train,train,train,train,train
4144,1739864126.jpg,0,2020,Cassava Bacterial Blight (CBB),train,test,train,train,train,train,train
4147,1740309612.jpg,0,2020,Cassava Bacterial Blight (CBB),train,test,train,train,train,train,train
4199,1750963666.jpg,0,2020,Cassava Bacterial Blight (CBB),train,test,train,train,train,train,train
4208,1752693374.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,test,train,train,train
4231,1757057989.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
4246,1758885297.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,test,train,train,train
4274,1763195879.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,test,train,train,train
4293,1767778795.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,test,train,train
4318,1772713207.jpg,0,2020,Cassava Bacterial Blight (CBB),train,test,train,train,train,train,train
4328,1773875430.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
4333,1774492072.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,train,test
4335,1774675464.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,test,train,train
4340,1775350103.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
4363,1778971646.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
4370,1780364325.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
4396,1784661840.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,train,test
4401,1785596731.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
4451,1795318849.jpg,0,2020,Cassava Bacterial Blight (CBB),test,train,train,train,train,train,train
4455,1795774689.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,test,train,train,train
4459,1796303978.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
4472,1797773732.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,test,train,train
4500,1805115397.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,test,train,train,train
4505,1806336706.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,test,train,train,train
4545,1813889006.jpg,0,2020,Cassava Bacterial Blight (CBB),test,train,train,train,train,train,train
4556,1815147513.jpg,0,2020,Cassava Bacterial Blight (CBB),train,test,train,train,train,train,train
4561,1816076936.jpg,0,2020,Cassava Bacterial Blight (CBB),test,train,train,train,train,train,train
4583,1820254127.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,train,test
4597,182316349.jpg,0,2020,Cassava Bacterial Blight (CBB),test,train,train,train,train,train,train
4603,1823619640.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,test,train,train,train
4614,1824992309.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
4632,1828496803.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,train,test
4642,1830061664.jpg,0,2020,Cassava Bacterial Blight (CBB),test,train,train,train,train,train,train
4674,183428396.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,test,train,train,train
4690,1836048821.jpg,0,2020,Cassava Bacterial Blight (CBB),test,train,train,train,train,train,train
4698,1837622218.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,train,test
4723,1841269407.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
4741,1844847808.jpg,0,2020,Cassava Bacterial Blight (CBB),test,train,train,train,train,train,train
4768,1849702886.jpg,0,2020,Cassava Bacterial Blight (CBB),test,train,train,train,train,train,train
4773,1850723562.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
4810,1857766258.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,train,test
4828,1860121418.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
4844,186394398.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
4911,1876922129.jpg,0,2020,Cassava Bacterial Blight (CBB),train,test,train,train,train,train,train
4913,1877332484.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
4933,1881994461.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
4976,1889205491.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
4977,1889215655.jpg,0,2020,Cassava Bacterial Blight (CBB),test,train,train,train,train,train,train
5014,1893906773.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,test,train,train,train
5076,190449795.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
5081,1905665106.jpg,0,2020,Cassava Bacterial Blight (CBB),train,test,train,train,train,train,train
5083,1905806148.jpg,0,2020,Cassava Bacterial Blight (CBB),train,test,train,train,train,train,train
5088,190698162.jpg,0,2020,Cassava Bacterial Blight (CBB),test,train,train,train,train,train,train
5095,1907786974.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,train,test
5097,1908179787.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,test,train,train
5108,1909574970.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,test,train,train
5149,1919668160.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
5170,1924360069.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
5182,1926670152.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
5207,1929510475.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
5219,1931488881.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
5232,1932481347.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,test,train,train,train
5282,1942147134.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,test,train,train,train
5308,1947066099.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,train,test
5373,1957663737.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,test,train,train
5391,1960345472.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,test,train,train,train
5406,1963346508.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,test,train,train,train
5424,1966222636.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
5468,1973051224.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,train,test
5506,1981073260.jpg,0,2020,Cassava Bacterial Blight (CBB),test,train,train,train,train,train,train
5569,1990916295.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,train,test
5586,1993797048.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,train,test
5655,2005257030.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
5656,2005545104.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
5664,2007737070.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,test,train,train
5665,2008117756.jpg,0,2020,Cassava Bacterial Blight (CBB),test,train,train,train,train,train,train
5688,2012036161.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,test,train,train
5701,201421885.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
5720,201703584.jpg,0,2020,Cassava Bacterial Blight (CBB),test,train,train,train,train,train,train
5739,2021674610.jpg,0,2020,Cassava Bacterial Blight (CBB),test,train,train,train,train,train,train
5751,2023813792.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
5772,2027426362.jpg,0,2020,Cassava Bacterial Blight (CBB),test,train,train,train,train,train,train
5776,2028087473.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
5816,2034410033.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
5832,2038601042.jpg,0,2020,Cassava Bacterial Blight (CBB),test,train,train,train,train,train,train
5854,2044199243.jpg,0,2020,Cassava Bacterial Blight (CBB),test,train,train,train,train,train,train
5864,2046239409.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
5893,2051495839.jpg,0,2020,Cassava Bacterial Blight (CBB),train,test,train,train,train,train,train
5898,2052193319.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
5913,2054830345.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
5979,2067363667.jpg,0,2020,Cassava Bacterial Blight (CBB),train,test,train,train,train,train,train
6024,2076904625.jpg,0,2020,Cassava Bacterial Blight (CBB),test,train,train,train,train,train,train
6039,2078899075.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
6069,208444967.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,train,test
6077,208548099.jpg,0,2020,Cassava Bacterial Blight (CBB),test,train,train,train,train,train,train
6179,210460809.jpg,0,2020,Cassava Bacterial Blight (CBB),train,test,train,train,train,train,train
6182,2105186227.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,train,test
6200,2109198789.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,train,test
6211,211163536.jpg,0,2020,Cassava Bacterial Blight (CBB),train,test,train,train,train,train,train
